Call Id,Agent,Date,Time,Topic,Answered (Y/N),Resolved,Speed of answer in seconds,AvgTalkDuration,Satisfaction rating
ID0096,Stewart,2021-01-02,13:13:26,Payment related,Y,Y,113.0,0:03:54,2.0
ID0097,Greg,2021-01-02,13:20:38,Contract related,Y,Y,19.0,0:02:03,4.0
ID0098,Martha,2021-01-02,13:20:38,Streaming,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0099,Dan,2021-01-02,13:20:38,Contract related,Y,Y,45.0,0:06:37,3.0
ID0100,Diane,2021-01-02,13:20:38,Technical Support,Y,Y,95.0,0:05:11,1.0
ID0101,Becky,2021-01-02,13:45:07,Technical Support,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0102,Martha,2021-01-02,13:45:07,Technical Support,Y,N,79.0,0:05:31,1.0
ID0103,Diane,2021-01-02,13:49:26,Payment related,Y,Y,22.0,0:03:56,2.0
ID0104,Martha,2021-01-02,13:49:26,Contract related,Y,Y,38.0,0:06:36,1.0
ID0105,Becky,2021-01-02,13:53:46,Technical Support,Y,Y,112.0,0:03:25,5.0
ID0106,Becky,2021-01-02,13:53:46,Payment related,Y,Y,65.0,0:04:57,3.0
ID0107,Joe,2021-01-02,14:22:34,Streaming,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0108,Becky,2021-01-02,14:22:34,Contract related,Y,N,55.0,0:02:32,1.0
ID0109,Stewart,2021-01-02,14:52:48,Admin Support,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0110,Joe,2021-01-02,14:52:48,Streaming,Y,Y,19.0,0:02:38,2.0
ID0111,Becky,2021-01-02,15:10:05,Technical Support,Y,Y,53.0,0:00:56,3.0
ID0112,Diane,2021-01-02,15:10:05,Technical Support,Y,Y,24.0,0:06:06,5.0
ID0113,Martha,2021-01-02,15:36:00,Streaming,Y,Y,73.0,0:06:01,3.0
ID0114,Stewart,2021-01-02,15:36:00,Technical Support,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0115,Jim,2021-01-02,17:36:58,Technical Support,Y,Y,55.0,0:05:47,5.0
ID0116,Greg,2021-01-02,17:36:58,Payment related,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0117,Diane,2021-01-02,17:47:02,Streaming,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0118,Martha,2021-01-02,17:47:02,Streaming,Y,Y,23.0,0:05:18,4.0
ID0119,Dan,2021-01-03,9:10:05,Payment related,Y,N,124.0,0:02:23,5.0
ID0120,Dan,2021-01-03,9:10:05,Contract related,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0121,Dan,2021-01-03,9:47:31,Technical Support,Y,Y,103.0,0:01:01,4.0
ID0122,Martha,2021-01-03,9:47:31,Contract related,Y,Y,69.0,0:03:45,4.0
ID0123,Joe,2021-01-03,10:29:17,Streaming,Y,Y,78.0,0:01:12,3.0
ID0124,Martha,2021-01-03,10:29:17,Technical Support,Y,Y,78.0,0:03:26,5.0
ID0125,Martha,2021-01-03,10:37:55,Technical Support,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0126,Diane,2021-01-03,10:37:55,Payment related,Y,Y,44.0,0:05:38,4.0
ID0127,Martha,2021-01-03,10:52:19,Admin Support,Y,Y,35.0,0:02:46,4.0
ID0128,Becky,2021-01-03,10:52:19,Admin Support,Y,Y,102.0,0:05:26,4.0
ID0129,Jim,2021-01-03,10:52:19,Contract related,Y,Y,99.0,0:05:51,3.0
ID0130,Jim,2021-01-03,10:52:19,Admin Support,Y,Y,29.0,0:04:09,3.0
ID0131,Becky,2021-01-03,10:58:05,Admin Support,Y,N,42.0,0:00:59,5.0
ID0132,Diane,2021-01-03,10:58:05,Payment related,Y,Y,113.0,0:05:40,4.0
ID0133,Dan,2021-01-03,11:02:24,Admin Support,Y,Y,124.0,0:00:53,2.0
ID0134,Jim,2021-01-03,11:02:24,Technical Support,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0135,Dan,2021-01-03,11:03:50,Payment related,Y,Y,55.0,0:02:13,1.0
ID0136,Greg,2021-01-03,11:03:50,Technical Support,Y,N,105.0,0:05:59,3.0
ID0137,Stewart,2021-01-03,11:06:43,Contract related,Y,N,112.0,0:03:12,5.0
ID0138,Martha,2021-01-03,11:06:43,Contract related,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0139,Becky,2021-01-03,11:16:48,Technical Support,Y,Y,43.0,0:06:20,5.0
ID0140,Joe,2021-01-03,11:16:48,Payment related,Y,Y,20.0,0:01:44,3.0
ID0141,Greg,2021-01-03,11:26:53,Technical Support,Y,Y,84.0,0:01:43,5.0
ID0142,Jim,2021-01-03,11:26:53,Contract related,Y,Y,20.0,0:02:44,4.0
ID0143,Greg,2021-01-03,11:38:24,Streaming,Y,Y,101.0,0:02:16,3.0
ID0144,Diane,2021-01-03,11:38:24,Technical Support,Y,Y,31.0,0:02:55,5.0
ID0145,Jim,2021-01-03,11:52:48,Contract related,Y,Y,56.0,0:04:09,5.0
ID0146,Joe,2021-01-03,11:52:48,Contract related,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0147,Joe,2021-01-03,11:55:41,Payment related,Y,Y,77.0,0:01:27,5.0
ID0148,Jim,2021-01-03,11:55:41,Payment related,Y,Y,46.0,0:00:50,4.0
ID0149,Stewart,2021-01-03,11:58:34,Admin Support,Y,Y,88.0,0:04:26,3.0
ID0150,Diane,2021-01-03,11:58:34,Payment related,Y,Y,88.0,0:00:58,1.0
ID0151,Joe,2021-01-03,12:33:07,Technical Support,Y,Y,124.0,0:06:03,1.0
ID0152,Stewart,2021-01-03,12:33:07,Contract related,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0153,Martha,2021-01-03,12:54:43,Payment related,Y,N,52.0,0:06:59,4.0
ID0154,Joe,2021-01-03,12:54:43,Admin Support,Y,Y,67.0,0:06:10,5.0
ID0155,Martha,2021-01-03,13:12:00,Payment related,Y,Y,119.0,0:04:16,3.0
ID0156,Dan,2021-01-03,13:12:00,Admin Support,Y,Y,98.0,0:04:37,2.0
ID0157,Jim,2021-01-03,13:14:53,Technical Support,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0158,Joe,2021-01-03,13:14:53,Technical Support,Y,Y,118.0,0:04:18,3.0
ID0159,Becky,2021-01-03,13:27:50,Admin Support,Y,Y,123.0,0:01:15,3.0
ID0160,Becky,2021-01-03,13:27:50,Streaming,Y,N,86.0,0:05:37,1.0
ID0161,Greg,2021-01-03,13:35:02,Admin Support,Y,Y,104.0,0:02:09,3.0
ID0162,Greg,2021-01-03,13:35:02,Payment related,Y,Y,69.0,0:01:33,2.0
ID0163,Dan,2021-01-03,13:58:05,Contract related,Y,Y,113.0,0:02:38,1.0
ID0164,Joe,2021-01-03,13:58:05,Streaming,Y,Y,88.0,0:03:23,5.0
ID0165,Joe,2021-01-03,13:58:05,Streaming,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0166,Stewart,2021-01-03,13:58:05,Payment related,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0167,Joe,2021-01-03,14:03:50,Payment related,Y,Y,84.0,0:00:58,2.0
ID0168,Diane,2021-01-03,14:03:50,Streaming,Y,Y,113.0,0:01:22,3.0
ID0169,Joe,2021-01-03,14:47:02,Streaming,Y,Y,38.0,0:05:31,4.0
ID0170,Dan,2021-01-03,14:47:02,Streaming,Y,Y,14.0,0:06:14,4.0
ID0171,Martha,2021-01-03,15:34:34,Streaming,Y,N,25.0,0:05:32,4.0
ID0172,Dan,2021-01-03,15:34:34,Contract related,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0173,Diane,2021-01-03,16:29:17,Technical Support,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0174,Joe,2021-01-03,16:29:17,Payment related,Y,Y,117.0,0:02:07,4.0
ID0175,Stewart,2021-01-03,17:31:12,Payment related,Y,N,57.0,0:06:01,2.0
ID0176,Martha,2021-01-03,17:31:12,Technical Support,Y,Y,119.0,0:05:19,5.0
ID0177,Martha,2021-01-04,9:01:26,Contract related,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0178,Diane,2021-01-04,9:01:26,Streaming,Y,Y,93.0,0:06:32,5.0
ID0179,Martha,2021-01-04,9:31:41,Payment related,Y,Y,86.0,0:01:04,4.0
ID0180,Joe,2021-01-04,9:31:41,Streaming,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0181,Dan,2021-01-04,9:43:12,Contract related,Y,Y,92.0,0:02:59,3.0
ID0182,Greg,2021-01-04,9:43:12,Streaming,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0183,Martha,2021-01-04,10:03:22,Technical Support,Y,Y,106.0,0:05:42,3.0
ID0184,Stewart,2021-01-04,10:03:22,Technical Support,Y,Y,67.0,0:02:44,3.0
ID0185,Jim,2021-01-04,10:27:50,Streaming,Y,Y,90.0,0:04:17,3.0
ID0186,Diane,2021-01-04,10:27:50,Technical Support,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0187,Becky,2021-01-04,11:09:36,Streaming,Y,N,50.0,0:03:49,4.0
ID0188,Diane,2021-01-04,11:09:36,Admin Support,Y,N,89.0,0:04:16,3.0
ID0189,Jim,2021-01-04,11:13:55,Admin Support,Y,Y,74.0,0:06:18,3.0
ID0190,Martha,2021-01-04,11:13:55,Payment related,Y,Y,63.0,0:02:22,2.0
ID0191,Becky,2021-01-04,11:18:14,Contract related,Y,Y,45.0,0:06:31,5.0
ID0192,Martha,2021-01-04,11:18:14,Technical Support,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0193,Dan,2021-01-04,11:22:34,Payment related,Y,Y,31.0,0:06:43,2.0
ID0194,Joe,2021-01-04,11:22:34,Streaming,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0195,Joe,2021-01-04,11:32:38,Contract related,Y,Y,43.0,0:03:44,5.0
ID0196,Martha,2021-01-04,11:32:38,Streaming,Y,Y,50.0,0:05:42,4.0
ID0197,Dan,2021-01-04,12:02:53,Technical Support,Y,Y,48.0,0:05:12,4.0
ID0198,Martha,2021-01-04,12:02:53,Admin Support,Y,Y,113.0,0:02:44,5.0
ID0199,Jim,2021-01-04,12:15:50,Streaming,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0200,Joe,2021-01-04,12:15:50,Technical Support,Y,Y,103.0,0:06:40,5.0
ID0201,Becky,2021-01-04,12:15:50,Technical Support,Y,N,95.0,0:04:27,3.0
ID0202,Joe,2021-01-04,12:15:50,Admin Support,Y,Y,30.0,0:05:04,1.0
ID0203,Greg,2021-01-04,13:32:10,Admin Support,Y,Y,124.0,0:03:19,3.0
ID0204,Diane,2021-01-04,13:32:10,Admin Support,Y,Y,17.0,0:02:03,5.0
ID0205,Stewart,2021-01-04,13:45:07,Streaming,Y,Y,113.0,0:06:00,3.0
ID0206,Jim,2021-01-04,13:45:07,Technical Support,Y,Y,25.0,0:02:27,5.0
ID0207,Jim,2021-01-04,13:56:38,Admin Support,Y,Y,52.0,0:04:22,5.0
ID0208,Dan,2021-01-04,13:56:38,Admin Support,Y,Y,28.0,0:02:44,5.0
ID0209,Greg,2021-01-04,14:25:26,Technical Support,Y,Y,69.0,0:03:05,3.0
ID0210,Martha,2021-01-04,14:25:26,Streaming,Y,Y,106.0,0:03:52,3.0
ID0211,Jim,2021-01-04,14:28:19,Technical Support,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0212,Joe,2021-01-04,14:28:19,Payment related,Y,Y,26.0,0:04:59,3.0
ID0213,Joe,2021-01-04,14:31:12,Payment related,Y,Y,53.0,0:05:55,4.0
ID0214,Martha,2021-01-04,14:31:12,Technical Support,Y,Y,77.0,0:04:10,2.0
ID0215,Jim,2021-01-04,14:49:55,Contract related,Y,Y,45.0,0:03:02,3.0
ID0216,Becky,2021-01-04,14:49:55,Technical Support,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0217,Greg,2021-01-04,15:23:02,Streaming,Y,Y,56.0,0:04:16,4.0
ID0218,Stewart,2021-01-04,15:23:02,Admin Support,Y,Y,13.0,0:03:56,2.0
ID0219,Stewart,2021-01-04,15:48:58,Admin Support,Y,Y,120.0,0:06:50,5.0
ID0220,Diane,2021-01-04,15:48:58,Payment related,Y,Y,22.0,0:00:50,1.0
ID0221,Martha,2021-01-04,16:48:00,Payment related,Y,Y,81.0,0:03:21,4.0
ID0222,Jim,2021-01-04,16:48:00,Streaming,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0223,Martha,2021-01-04,16:49:26,Contract related,Y,Y,71.0,0:00:48,2.0
ID0224,Stewart,2021-01-04,16:49:26,Payment related,Y,Y,75.0,0:01:33,4.0
ID0225,Martha,2021-01-04,16:49:26,Technical Support,Y,Y,77.0,0:02:42,4.0
ID0226,Joe,2021-01-04,16:49:26,Streaming,Y,Y,88.0,0:06:27,4.0
ID0227,Stewart,2021-01-04,17:35:31,Admin Support,Y,Y,82.0,0:03:05,2.0
ID0228,Jim,2021-01-04,17:35:31,Technical Support,Y,Y,110.0,0:06:30,3.0
ID0229,Martha,2021-01-04,17:39:50,Admin Support,Y,N,70.0,0:01:32,3.0
ID0230,Becky,2021-01-04,17:39:50,Admin Support,Y,Y,117.0,0:03:40,3.0
ID0231,Joe,2021-01-05,9:08:38,Streaming,Y,Y,18.0,0:00:50,3.0
ID0232,Joe,2021-01-05,9:08:38,Streaming,Y,Y,113.0,0:02:36,4.0
ID0233,Stewart,2021-01-05,9:25:55,Contract related,Y,N,68.0,0:03:29,5.0
ID0234,Greg,2021-01-05,9:25:55,Payment related,Y,Y,67.0,0:04:14,5.0
ID0235,Joe,2021-01-05,9:33:07,Technical Support,Y,Y,36.0,0:01:07,5.0
ID0236,Stewart,2021-01-05,9:33:07,Streaming,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0237,Becky,2021-01-05,10:00:29,Technical Support,Y,Y,33.0,0:02:30,1.0
ID0238,Dan,2021-01-05,10:00:29,Contract related,Y,Y,113.0,0:01:59,5.0
ID0239,Greg,2021-01-05,10:49:26,Contract related,Y,Y,106.0,0:06:19,3.0
ID0240,Joe,2021-01-05,10:49:26,Streaming,Y,Y,23.0,0:04:59,3.0
ID0241,Joe,2021-01-05,11:31:12,Streaming,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0242,Greg,2021-01-05,11:31:12,Payment related,Y,Y,11.0,0:04:42,1.0
ID0243,Greg,2021-01-05,11:41:17,Contract related,Y,Y,73.0,0:04:45,5.0
ID0244,Dan,2021-01-05,11:41:17,Admin Support,Y,Y,109.0,0:04:49,5.0
ID0245,Martha,2021-01-05,11:49:55,Payment related,Y,Y,29.0,0:04:14,4.0
ID0246,Dan,2021-01-05,11:49:55,Streaming,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0247,Becky,2021-01-05,11:49:55,Admin Support,Y,Y,81.0,0:01:14,4.0
ID0248,Greg,2021-01-05,11:49:55,Contract related,Y,Y,59.0,0:03:52,1.0
ID0249,Becky,2021-01-05,12:00:00,Streaming,Y,Y,32.0,0:06:29,4.0
ID0250,Martha,2021-01-05,12:00:00,Admin Support,Y,Y,116.0,0:00:42,4.0
ID0251,Diane,2021-01-05,12:12:58,Payment related,Y,Y,92.0,0:01:55,5.0
ID0252,Greg,2021-01-05,12:12:58,Streaming,Y,Y,62.0,0:06:02,5.0
ID0253,Joe,2021-01-05,13:04:48,Payment related,Y,Y,83.0,0:01:53,5.0
ID0254,Joe,2021-01-05,13:04:48,Admin Support,Y,Y,71.0,0:02:31,3.0
ID0255,Greg,2021-01-05,13:59:31,Admin Support,Y,N,74.0,0:04:32,3.0
ID0256,Joe,2021-01-05,13:59:31,Technical Support,Y,Y,96.0,0:05:46,4.0
ID0257,Diane,2021-01-05,14:42:43,Admin Support,Y,Y,110.0,0:01:41,1.0
ID0258,Jim,2021-01-05,14:42:43,Streaming,Y,N,110.0,0:02:38,3.0
ID0259,Dan,2021-01-05,15:18:43,Technical Support,Y,Y,117.0,0:03:03,4.0
ID0260,Becky,2021-01-05,15:18:43,Admin Support,Y,Y,44.0,0:05:53,3.0
ID0261,Diane,2021-01-05,15:20:10,Contract related,Y,Y,47.0,0:06:02,4.0
ID0262,Greg,2021-01-05,15:20:10,Admin Support,Y,Y,97.0,0:01:16,3.0
ID0263,Greg,2021-01-05,15:31:41,Streaming,Y,Y,67.0,0:02:39,4.0
ID0264,Diane,2021-01-05,15:31:41,Streaming,Y,Y,72.0,0:06:48,3.0
ID0265,Becky,2021-01-05,15:31:41,Contract related,Y,Y,68.0,0:04:21,3.0
ID0266,Joe,2021-01-05,15:31:41,Payment related,Y,Y,98.0,0:06:22,5.0
ID0267,Joe,2021-01-05,15:37:26,Streaming,Y,Y,120.0,0:00:56,3.0
ID0268,Dan,2021-01-05,15:37:26,Payment related,Y,Y,13.0,0:02:33,1.0
ID0269,Jim,2021-01-05,15:44:38,Admin Support,Y,Y,95.0,0:01:47,5.0
ID0270,Martha,2021-01-05,15:44:38,Payment related,Y,Y,31.0,0:00:42,5.0
ID0271,Dan,2021-01-05,16:06:14,Streaming,Y,Y,113.0,0:06:22,3.0
ID0272,Martha,2021-01-05,16:06:14,Technical Support,Y,Y,116.0,0:04:40,3.0
ID0273,Martha,2021-01-05,16:16:19,Admin Support,Y,N,94.0,0:05:29,5.0
ID0274,Martha,2021-01-05,16:16:19,Admin Support,Y,N,51.0,0:04:42,4.0
ID0275,Diane,2021-01-05,16:27:50,Technical Support,Y,Y,60.0,0:04:07,4.0
ID0276,Diane,2021-01-05,16:27:50,Contract related,Y,Y,59.0,0:06:04,2.0
ID0277,Stewart,2021-01-05,17:25:26,Technical Support,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0278,Greg,2021-01-05,17:25:26,Payment related,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0279,Joe,2021-01-05,17:29:46,Technical Support,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0280,Dan,2021-01-05,17:29:46,Contract related,Y,Y,16.0,0:03:33,4.0
ID0281,Diane,2021-01-05,17:38:24,Technical Support,Y,Y,81.0,0:01:51,3.0
ID0282,Joe,2021-01-05,17:38:24,Streaming,Y,Y,65.0,0:06:46,1.0
ID0283,Martha,2021-01-05,17:44:10,Streaming,Y,Y,55.0,0:03:04,2.0
ID0284,Martha,2021-01-05,17:44:10,Technical Support,N,N,67.52072027627035,0:04:43,3.4035520473606313
